,Job Title,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Starting Salary,End Salary
143,AI Data Scientist,3.3,MITRE,"McLean, VA","Bedford, MA",5001 to 10000 employees,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),90000,109000
144,Machine Learning Engineer,5.0,"Expedition Technology, Inc.","Herndon, VA","Dulles, VA",1 to 50 employees,2013,Company - Private,Aerospace & Defense,Aerospace & Defense,$10 to $25 million (USD),90000,109000
145,Research Scientist Patient Preferences (Remote),3.8,Evidera,"Bethesda, MD","Bethesda, MD",501 to 1000 employees,2013,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),90000,109000
146,Data Scientist,3.4,Plymouth Rock Assurance,"Woodbridge, NJ","Boston, MA",1001 to 5000 employees,1982,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD),90000,109000
147,Scientist - Biomarker and Flow Cytometry,2.4,Crown Bioscience,"San Diego, CA","San Diego, CA",501 to 1000 employees,2006,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million (USD),90000,109000
148,Data Scientist,2.9,GNS Healthcare,"Cambridge, MA","Cambridge, MA",51 to 200 employees,2000,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),90000,109000
149,Analytics Manager,4.4,OneMagnify,"Dearborn, MI","Detroit, MI",201 to 500 employees,1967,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,90000,109000
150,Data Scientist,2.9,SPECTRUM,"Maryland Heights, MO","Stamford, CT",10000+ employees,2016,Subsidiary or Business Segment,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion (USD),90000,109000
151,Staff Scientist- Upstream PD,2.7,Advanced BioScience Laboratories,"Rockville, MD","Rockville, MD",201 to 500 employees,1961,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million (USD),90000,109000
152,Data Engineer,4.2,Procore Technologies,"Carpinteria, CA","Carpinteria, CA",1001 to 5000 employees,2002,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,90000,109000
153,Sr Scientist - Extractables & Leachables,3.5,Ritedose,"Columbia, SC","Columbia, SC",201 to 500 employees,1995,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),90000,109000
154,ELISA RESEARCH SCIENTIST (CV-15),1.0,Covid-19 Search Partners,"Hauppauge, NY",Unknown,-1,Unknown,-1,Unknown,Unknown,-1,90000,109000
155,Sr Data Scientist,4.2,bioMérieux,"Saint Louis, MO","Marcy-l'Etoile, France",10000+ employees,1963,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),90000,109000
156,Data Scientist,4.5,Novetta,"Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),101000,165000
157,Experienced Data Scientist,4.4,Guzman & Griffin Technologies (GGTI),"Washington, DC","Mays Landing, NJ",1 to 50 employees,1997,Company - Private,Federal Agencies,Government,Unknown / Non-Applicable,101000,165000
158,Machine Learning Engineer,1.0,Radical Convergence,"Reston, VA",Unknown,-1,Unknown,-1,Unknown,Unknown,-1,101000,165000
159,Data Scientist,3.5,Leidos,"Fort Meade, MD","Reston, VA",10000+ employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),101000,165000
160,Data Scientist,4.5,Demandbase,"San Francisco, CA","San Francisco, CA",201 to 500 employees,2006,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),101000,165000
161,Say Business Data Analyst,4.1,Shelter Insurance,"Columbia, MO","Columbia, MO",1001 to 5000 employees,1946,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),101000,165000
162,Geospatial Data Scientist,3.5,Maxar Technologies,"Chantilly, VA","Westminster, CO",5001 to 10000 employees,Unknown,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),101000,165000
163,Data Analyst,2.7,USAC,"Washington, DC","Washington, DC",501 to 1000 employees,1997,Nonprofit Organization,Telecommunications Services,Telecommunications,$25 to $50 million (USD),101000,165000
164,Computational Scientist,3.4,General Dynamics Information Technology,"Vicksburg, MS","Fairfax, VA",10000+ employees,1996,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion (USD),101000,165000
165,Data Scientist,4.4,Offerpad,"Chandler, AZ","Chandler, AZ",201 to 500 employees,2015,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,101000,165000
166,Senior Data Analyst,4.0,Autodesk,"San Francisco, CA","San Rafael, CA",5001 to 10000 employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),101000,165000
167,Senior Data Analyst,4.2,Autodesk,"San Francisco, CA","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),101000,165000
168,Data Engineer,3.5,Magna International Inc.,"Birmingham, AL","Aurora, Canada",10000+ employees,1957,Company - Public,Unknown,Unknown,$10+ billion (USD),101000,165000
169,Sr Data Analyst,2.3,United BioSource,"Blue Bell, PA","Blue Bell, PA",1001 to 5000 employees,2003,Other Organization,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),101000,165000
170,Data Scientist,3.4,Kelly,"Chicago, IL","Troy, MI",5001 to 10000 employees,1946,Company - Public,Staffing & Outsourcing,Business Services,$5 to $10 billion (USD),101000,165000
171,"Machine Learning Scientist - Bay Area, CA",3.3,Tempus Labs,"Redwood City, CA","Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,101000,165000
172,Data Scientist,4.7,C3.ai,"Redwood City, CA","Redwood City, CA",201 to 500 employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),101000,165000
173,Senior Data Scientist - Algorithms,3.9,Quartet Health,"New York, NY","New York, NY",201 to 500 employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,101000,165000
174,Data Analyst,3.3,Midland Credit Management,"San Diego, CA","San Diego, CA",1001 to 5000 employees,1953,Subsidiary or Business Segment,Banks & Credit Unions,Finance,$1 to $2 billion (USD),101000,165000
175,Senior Data & Machine Learning Scientist,3.3,Tempus Labs,"Chicago, IL","Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,101000,165000
176,Data Engineer,4.4,Resurgent Capital Services,"Cincinnati, OH","Greenville, SC",201 to 500 employees,1998,Company - Private,Venture Capital & Private Equity,Finance,$50 to $100 million (USD),101000,165000
177,"Data Scientist - Statistics, Early Career",3.7,PNNL,"Richland, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),56000,97000
178,Data Scientist,3.5,Buckman,"Memphis, TN","Memphis, TN",1001 to 5000 employees,1945,Company - Private,Chemical Manufacturing,Manufacturing,$500 million to $1 billion (USD),56000,97000
179,Machine Learning Engineer,3.6,Buckman,"Memphis, TN","Arlington, VA",501 to 1000 employees,1967,Nonprofit Organization,Federal Agencies,Government,$50 to $100 million (USD),56000,97000
180,Research Scientist - Patient-Centered Research (Remote),3.8,Evidera,"Bethesda, MD","Bethesda, MD",501 to 1000 employees,2013,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),56000,97000
181,Jr. Business Data Analyst (position added 6/12/2020),4.7,webfx.com,"Harrisburg, PA","Harrisburg, PA",201 to 500 employees,1997,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),56000,97000
182,Sr. Data Scientist II,3.5,Argo Group US,"New York, NY","Hamilton, Bermuda",1001 to 5000 employees,1948,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD),56000,97000
183,Data Scientist,3.3,BWX Technologies,"Oak Ridge, TN","Lynchburg, VA",5001 to 10000 employees,1850,Company - Public,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),56000,97000
184,Senior Data Analyst,3.9,Life360,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2008,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,56000,97000
185,Lead Data Scientist,3.7,MassMutual,"Boston, MA","Springfield, MA",5001 to 10000 employees,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),56000,97000
186,Production Engineer - Statistics/Data Analysis,3.9,Natera,"San Carlos, CA","San Carlos, CA",501 to 1000 employees,2004,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),56000,97000
187,Statistical Scientist,4.0,Genentech,"South San Francisco, CA","South San Francisco, CA",10000+ employees,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),56000,97000
188,Computational Behavioral Scientist,4.2,Ntrepid,"Herndon, VA","Herndon, VA",201 to 500 employees,2010,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),56000,97000
189,Principal Data Scientist - Machine Learning,3.6,Constant Contact,"Waltham, MA","Waltham, MA",Unknown,1995,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,56000,97000
190,Principal Machine Learning Scientist,4.7,Sage Intacct,"San Francisco, CA","San Jose, CA",501 to 1000 employees,1999,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,56000,97000
191,Data Engineer,4.1,Shape Security,"Santa Clara, CA","Mountain View, CA",51 to 200 employees,2011,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,56000,97000
192,Principal Data Scientist,4.0,AstraZeneca,"Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),56000,97000
193,Data Scientist,5.0,SkillSoniq,"San Francisco, CA","Jersey City, NJ",Unknown,Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,56000,97000
194,Senior Data Scientist - R&D Oncology,4.0,AstraZeneca,"New York, NY","Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),56000,97000
195,Data Scientist,4.3,Joby Aviation,"San Carlos, CA","Santa Cruz, CA",51 to 200 employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,56000,97000
196,"Health Plan Data Analyst, Sr",3.8,Cook Children's Health Care System,"Fort Worth, TX","Fort Worth, TX",5001 to 10000 employees,1918,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),56000,97000
197,"Principal Scientist/Associate Director, Quality Control and Analytical Technologies",3.8,Rubius Therapeutics,"Smithfield, RI","Cambridge, MA",201 to 500 employees,2013,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),56000,97000
198,Analytics - Business Assurance Data Analyst,4.6,GreatAmerica Financial Services,"Cedar Rapids, IA","Cedar Rapids, IA",501 to 1000 employees,1992,Company - Private,Lending,Finance,$100 to $500 million (USD),56000,97000
199,Data Scientist - Contract,4.1,Upside Business Travel,Remote,"Washington, DC",51 to 200 employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,79000,106000
200,Data Scientist,3.4,Spectrum Communications and Consulting,"Chicago, IL","Chicago, IL",51 to 200 employees,1992,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),79000,106000
201,Data Scientist,4.1,Coverent,"McLean, VA","McLean, VA",51 to 200 employees,2008,Company - Private,Consulting,Business Services,$10 to $25 million (USD),79000,106000
202,Machine Learning Engineer,3.7,Mteq,"Fort Belvoir, VA","Lorton, VA",501 to 1000 employees,1954,Company - Public,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),79000,106000
203,Data Engineer,4.4,Rocket Lawyer,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2008,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),79000,106000
204,"Senior Data Scientist – Image Analytics, Novartis AI Innovation Lab",3.9,Novartis,"Cambridge, MA","Basel, Switzerland",10000+ employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),79000,106000
205,Data Engineer,3.6,Alion Science & Technology,"Linthicum Heights, MD","Mc Lean, VA",1001 to 5000 employees,2001,Company - Private,Research & Development,Business Services,$1 to $2 billion (USD),79000,106000
206,Data Science Instructor,4.5,Novetta,"Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),79000,106000
207,Senior Business Intelligence Analyst,3.7,Protolabs,"Maple Plain, MN","Maple Plain, MN",1001 to 5000 employees,1999,Company - Public,Miscellaneous Manufacturing,Manufacturing,$100 to $500 million (USD),79000,106000
208,In-Line Inspection Data Analyst,2.9,Quest Integrity,"Tulsa, OK","Kent, WA",201 to 500 employees,1996,Company - Public,Oil & Gas Services,"Oil, Gas, Energy & Utilities",$50 to $100 million (USD),79000,106000
209,Data Scientist - TS/SCI FSP or CI Required,5.0,Phoenix Operations Group,"Annapolis Junction, MD","Woodbine, MD",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),79000,106000
210,Data Scientist,3.4,Dice.com,"Newton, MA","Denver, CO",201 to 500 employees,1990,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),79000,106000
211,Senior Data Scientist,3.5,Maxar Technologies,"Herndon, VA","Westminster, CO",5001 to 10000 employees,Unknown,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),79000,106000
212,Data Scientist - TS/SCI Required,5.0,Phoenix Operations Group,"Baltimore, MD","Woodbine, MD",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),79000,106000
213,Data Science Software Engineer,4.8,Klaviyo,"Boston, MA","Boston, MA",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,79000,106000
214,ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR,3.9,Southwest Research Institute,"Oklahoma City, OK","San Antonio, TX",1001 to 5000 employees,1947,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion (USD),79000,106000
215,AI Ops Data Scientist,4.0,AstraZeneca,"Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),79000,106000
216,"Intelligence Data Analyst, Senior",4.3,The Buffalo Group,"Fort Belvoir, VA","Reston, VA",501 to 1000 employees,2010,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),79000,106000
217,Analytics Manager - Data Mart,3.5,Central California Alliance for Health,"Scotts Valley, CA","Scotts Valley, CA",501 to 1000 employees,1996,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),79000,106000
218,Data Modeler (Analytical Systems),3.7,MassMutual,"Boston, MA","Springfield, MA",5001 to 10000 employees,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),79000,106000
219,"Senior Machine Learning Scientist - Bay Area, CA",3.3,Tempus Labs,"Redwood City, CA","Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,79000,106000
220,Report Writer-Data Analyst,3.1,Security Finance Corporation of Spartanburg,"Spartanburg, SC","Spartanburg, SC",1001 to 5000 employees,1955,Company - Private,Lending,Finance,Unknown / Non-Applicable,79000,106000
221,Data Scientist/Machine Learning,4.3,PulsePoint,"New York, NY","New York, NY",51 to 200 employees,2011,Company - Private,Internet,Information Technology,$100 to $500 million (USD),71000,123000
222,Data Scientist - Risk,4.2,LSQ,"Orlando, FL","Orlando, FL",51 to 200 employees,1996,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),71000,123000
223,Data Engineer,4.4,Resurgent Capital Services,"Cincinnati, OH","Greenville, SC",201 to 500 employees,1998,Company - Private,Venture Capital & Private Equity,Finance,$50 to $100 million (USD),71000,123000
224,Staff Data Scientist - Pricing,3.6,Opendoor,"San Francisco, CA","San Francisco, CA",501 to 1000 employees,2014,Company - Private,Real Estate,Real Estate,$2 to $5 billion (USD),71000,123000
225,Data Scientist,4.5,Global Data Management Inc,"Hartford, CT","Woodbridge, NJ",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),71000,123000
226,Data Scientist,3.0,Photon Infotech,"Chicago, IL","Chennai, India",1001 to 5000 employees,1999,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),71000,123000
227,Data Scientist,5.0,REE,United States,"Tel Aviv-Yafo, Israel",51 to 200 employees,2018,Company - Private,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable,71000,123000
228,Machine Learning Engineer,3.6,Riverside Research Institute,"Beavercreek, OH","Arlington, VA",501 to 1000 employees,1967,Nonprofit Organization,Federal Agencies,Government,$50 to $100 million (USD),71000,123000
229,Equity Data Insights Analyst - Quantitative Analyst,3.6,T. Rowe Price,"Baltimore, MD","Baltimore, MD",5001 to 10000 employees,1937,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),71000,123000
230,Data Scientist,1.0,"Encode, Inc.","Norfolk, VA","Manalapan, NJ",1 to 50 employees,Unknown,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),71000,123000
231,Research Scientist - Patient-Centered Research (Remote),3.8,Evidera,"Bethesda, MD","Bethesda, MD",501 to 1000 employees,2013,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),71000,123000
232,Data Scientist,3.3,BWX Technologies,"Oak Ridge, TN","Lynchburg, VA",5001 to 10000 employees,1850,Company - Public,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),71000,123000
233,Operations Data Analyst,3.8,Brighthouse Financial,"Charlotte, NC","Charlotte, NC",1001 to 5000 employees,2017,Company - Public,Insurance Carriers,Insurance,Unknown / Non-Applicable,71000,123000
234,Sr. Data Scientist II,3.5,Argo Group US,"New York, NY","Hamilton, Bermuda",1001 to 5000 employees,1948,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD),71000,123000
235,Data Scientist,3.3,II-VI Incorporated,"Champaign, IL","Saxonburg, PA",10000+ employees,1971,Company - Public,Telecommunications Manufacturing,Telecommunications,$1 to $2 billion (USD),71000,123000
236,Data Scientist,4.6,Surya Systems,"San Francisco, CA","Bristol, PA",1 to 50 employees,Unknown,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD),71000,123000
237,Data Scientist,3.8,PayPal,Texas,"San Jose, CA",10000+ employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),71000,123000
238,Senior Data Analyst,3.9,Life360,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2008,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,71000,123000
239,Data Scientist,3.9,Predictive Research Inc,"Plano, TX","Bangalore, India",1 to 50 employees,Unknown,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,71000,123000
240,Data Scientist,4.7,Oversight Systems,"Atlanta, GA","Atlanta, GA",51 to 200 employees,2003,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),90000,124000
241,Senior Research Statistician- Data Scientist,4.8,Acuity Insurance,"Sheboygan, WI","Sheboygan, WI",1001 to 5000 employees,1925,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),90000,124000
242,Software Data Engineer,3.1,1010data,"New York, NY","New York, NY",201 to 500 employees,2000,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),90000,124000
243,Data Scientist,3.6,Gigya,"Palo Alto, CA","Mountain View, CA",201 to 500 employees,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),90000,124000
244,Real World Evidence (RWE) Scientist,5.0,Genesis Research,"Hoboken, NJ","Hoboken, NJ",1 to 50 employees,2009,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,90000,124000
245,Data Scientist,3.7,Sanofi,"Cambridge, MA","Paris, France",10000+ employees,1973,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),90000,124000
246,Data Scientist,3.7,XPO Logistics,"Lebanon, IN","Greenwich, CT",10000+ employees,2011,Company - Public,Transportation Management,Transportation & Logistics,$10+ billion (USD),90000,124000
247,Data Scientist,3.9,Trace Data,"Oakland, CA","Santa Ana, CA",51 to 200 employees,2000,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD),90000,124000
248,Data Scientist,4.3,Descript,"San Francisco, CA","Houston, TX",1 to 50 employees,Unknown,Company - Private,Unknown,Unknown,Less than $1 million (USD),90000,124000
249,Computer Scientist 1,4.2,Rincon Research Corporation,"Melbourne, FL","Tucson, AZ",201 to 500 employees,1983,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),90000,124000
250,Lead Data Scientist,3.7,MassMutual,"Boston, MA","Springfield, MA",5001 to 10000 employees,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),90000,124000
251,Data Scientist,4.0,Better Hire,"Birmingham, AL","Birmingham, AL",1 to 50 employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,90000,124000
252,Data Scientist,3.3,Parker Hannifin,"Cleveland, OH","Cleveland, OH",10000+ employees,1917,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),90000,124000
253,Data Scientist,4.1,Gallup,"New York, NY","Washington, DC",1001 to 5000 employees,1935,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,90000,124000
254,Data Scientist,3.3,Insider Inc,"New York, NY","New York, NY",201 to 500 employees,2007,Company - Private,News Outlet,Media,$50 to $100 million (USD),90000,124000
255,Data Scientist,3.9,Rapid Value Solutions,"San Francisco, CA","Pleasanton, CA",201 to 500 employees,2009,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,90000,124000
256,Environmental Data Science,3.1,Battelle,"Norwell, MA","Columbus, OH",10000+ employees,1929,Nonprofit Organization,Research & Development,Business Services,$5 to $10 billion (USD),90000,124000
257,Computational Behavioral Scientist,4.2,Ntrepid,"Herndon, VA","Herndon, VA",201 to 500 employees,2010,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),90000,124000
258,Data Scientist,5.0,"The Drive Media, Inc.","New York, NY",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,90000,124000
259,Staff BI and Data Engineer,2.9,Affinity Solutions,"San Jose, CA","New York, NY",51 to 200 employees,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,90000,124000
260,Principal Machine Learning Scientist,4.7,Sage Intacct,"San Francisco, CA","San Jose, CA",501 to 1000 employees,1999,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,90000,124000
261,Principal Data Scientist - Machine Learning,3.6,Constant Contact,"Waltham, MA","Waltham, MA",Unknown,1995,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,90000,124000
262,Data Scientist-Human Resources,3.8,MIT Lincoln Laboratory,"Lexington, MA","Lexington, MA",1001 to 5000 employees,1951,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,91000,150000
263,Associate Data Scientist,3.3,Puget Sound Energy,"Bothell, WA","Bellevue, WA",1001 to 5000 employees,1999,Company - Private,Utilities,"Oil, Gas, Energy & Utilities",$2 to $5 billion (USD),91000,150000
264,"Data Scientist - Statistics, Mid-Career",3.7,Pacific Northwest National Laboratory,"Richland, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),91000,150000
265,Director of Data Science,3.8,Analysis Group,"Boston, MA","Boston, MA",1001 to 5000 employees,1981,Private Practice / Firm,Consulting,Business Services,$100 to $500 million (USD),91000,150000
266,Data Scientist,3.2,US Pharmacopeia,"Rockville, MD","Rockville, MD",1001 to 5000 employees,1820,Nonprofit Organization,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),91000,150000
267,Data Scientist,4.6,Itlize Global,"Piscataway, NJ","Piscataway, NJ",201 to 500 employees,2010,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),91000,150000
268,Data Scientist,3.5,eBay,"San Jose, CA","San Jose, CA",10000+ employees,1995,Company - Public,Internet,Information Technology,$10+ billion (USD),91000,150000
269,"Data Engineer, Digital & Comp Pathology",5.0,Paige,"New York, NY","New York, NY",1 to 50 employees,2018,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,91000,150000
270,Data Engineer,4.1,Shape Security,"Santa Clara, CA","Mountain View, CA",51 to 200 employees,2011,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,91000,150000
271,"Manager / Lead, Data Science & Analytics",4.1,ABIOMED,"Danvers, MA","Danvers, MA",1001 to 5000 employees,1981,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),91000,150000
272,Data Scientist,3.5,Comcast,"New York, NY","Philadelphia, PA",10000+ employees,1963,Company - Public,Unknown,Unknown,$10+ billion (USD),91000,150000
273,Data Scientist,3.2,"Metronome, LLC","Vienna, VA","Fairfax, VA",51 to 200 employees,2011,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),91000,150000
274,Data Scientist,5.0,SkillSoniq,"San Francisco, CA","Jersey City, NJ",Unknown,Unknown,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,91000,150000
275,Data Scientist,4.7,Lawrence Livermore National Lab,"Livermore, CA","Livermore, CA",1001 to 5000 employees,1952,Government,Federal Agencies,Government,$1 to $2 billion (USD),91000,150000
276,Diversity and Inclusion Data Analyst,3.8,FHLBank Pittsburgh,"Pittsburgh, PA","Pittsburgh, PA",201 to 500 employees,1932,Company - Private,Banks & Credit Unions,Finance,$1 to $2 billion (USD),91000,150000
277,Data Scientist,3.6,Jacobs,"Herndon, VA","Dallas, TX",10000+ employees,1947,Company - Public,Architectural & Engineering Services,Business Services,$10+ billion (USD),91000,150000
278,Data Scientist,4.8,Klaviyo,"Boston, MA","Boston, MA",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,91000,150000
279,Data Scientist,3.3,Underwriters Laboratories,"Northbrook, IL","Northbrook, IL",10000+ employees,1894,Company - Private,Consulting,Business Services,$2 to $5 billion (USD),91000,150000
280,Data Scientist,3.7,Altus Group,"Irvine, CA","Toronto, Canada",1001 to 5000 employees,2005,Company - Public,Real Estate,Real Estate,$100 to $500 million (USD),91000,150000
281,Data Scientist,5.0,Jobot,"Irvine, CA","Irvine, CA",51 to 200 employees,2018,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),91000,150000
282,Data Scientist,1.0,Trovetechs Inc,"San Francisco, CA","Hillsborough, NJ",Unknown,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,91000,150000
283,Senior Analyst/Data Scientist,3.4,Edmunds.com,"Santa Monica, CA","Santa Monica, CA",501 to 1000 employees,1966,Company - Private,Internet,Information Technology,$100 to $500 million (USD),141000,225000
284,Data Scientist,5.0,Cohere Health,"Boston, MA","Boston, MA",1 to 50 employees,2019,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,141000,225000
